North Melbourne,GWS Giants,Marvel Stadium,53 - 102
Collingwood,Melbourne,MCG,82 - 56
Richmond,Carlton,MCG,81 - 66
St Kilda,Essendon,Marvel Stadium,72 - 107
Port Adelaide,Sydney Swans,Adelaide Oval,82 - 59
West Coast Eagles,Geelong Cats,Optus Stadium,63 - 81
GWS Giants,Western Bulldogs,GIANTS Stadium,105 - 125
Gold Coast Suns,Adelaide Crows,Metricon Stadium,116 - 73
Melbourne,Brisbane Lions,MCG,117 - 53
Western Bulldogs,Hawthorn,Marvel Stadium,125 - 83
West Coast Eagles,Essendon,Optus Stadium,107 - 97
Carlton,Fremantle,Marvel Stadium,81 - 50
Geelong Cats,Richmond,MCG,89 - 86
Sydney Swans,St Kilda,SCG,83 - 32
North Melbourne,Adelaide Crows,Blundstone Arena,58 - 115
Collingwood,GWS Giants,MCG,88 - 77
Port Adelaide,Gold Coast Suns,Adelaide Oval,93 - 91
Brisbane Lions,Western Bulldogs,Gabba,108 - 67
Carlton,St Kilda,Marvel Stadium,78 - 93
Essendon,Sydney Swans,MCG,95 - 86
Adelaide Crows,Melbourne,Adelaide Oval,65 - 94
Geelong Cats,North Melbourne,GMHBA Stadium,144 - 32
Gold Coast Suns,Collingwood,Metricon Stadium,62 - 67
Richmond,West Coast Eagles,MCG,128 - 93
GWS Giants,Hawthorn,GIANTS Stadium,72 - 50
Fremantle,Port Adelaide,Optus Stadium,99 - 91
Geelong Cats,Melbourne,GMHBA Stadium,91 - 63
Sydney Swans,Western Bulldogs,SCG,120 - 67
Collingwood,North Melbourne,MCG,88 - 81
Gold Coast Suns,Richmond,Metricon Stadium,94 - 92
St Kilda,Fremantle,Marvel Stadium,70 - 111
Port Adelaide,GWS Giants,Adelaide Oval,84 - 29
Brisbane Lions,Essendon,Gabba,90 - 100
Hawthorn,Adelaide Crows,Marvel Stadium,86 - 54
West Coast Eagles,Carlton,Optus Stadium,53 - 116
Western Bulldogs,St Kilda,Marvel Stadium,84 - 56
GWS Giants,Brisbane Lions,Manuka Oval,59 - 99
Adelaide Crows,Collingwood,Adelaide Oval,86 - 91
North Melbourne,Richmond,Marvel Stadium,92 - 88
Carlton,Geelong Cats,MCG,55 - 85
Fremantle,Sydney Swans,Optus Stadium,65 - 82
Hawthorn,West Coast Eagles,MCG,102 - 77
Melbourne,Port Adelaide,TIO Traeger Park,83 - 69
Essendon,Gold Coast Suns,Marvel Stadium,103 - 55
Richmond,Fremantle,Marvel Stadium,52 - 52
North Melbourne,Hawthorn,Blundstone Arena,75 - 121
Sydney Swans,Adelaide Crows,SCG,118 - 85
Port Adelaide,Geelong Cats,Adelaide Oval,94 - 106
Brisbane Lions,Gold Coast Suns,Gabba,110 - 93
Western Bulldogs,Melbourne,Marvel Stadium,110 - 100
Carlton,GWS Giants,Marvel Stadium,90 - 54
Collingwood,Essendon,MCG,80 - 76
West Coast Eagles,St Kilda,Optus Stadium,62 - 90
Fremantle,Melbourne,Optus Stadium,39 - 85
Collingwood,Port Adelaide,MCG,88 - 82
Sydney Swans,GWS Giants,SCG,112 - 39
St Kilda,Hawthorn,Marvel Stadium,75 - 63
Geelong Cats,Western Bulldogs,GMHBA Stadium,94 - 66
Adelaide Crows,Carlton,Adelaide Oval,84 - 55
Gold Coast Suns,West Coast Eagles,Metricon Stadium,107 - 104
Richmond,Brisbane Lions,MCG,104 - 97
Essendon,North Melbourne,Marvel Stadium,114 - 66
Melbourne,Collingwood,MCG,89 - 96
Hawthorn,Gold Coast Suns,University of Tasmania Stadium,70 - 63
GWS Giants,Essendon,GIANTS Stadium,96 - 69
Western Bulldogs,Fremantle,Marvel Stadium,78 - 95
Geelong Cats,St Kilda,GMHBA Stadium,110 - 65
Port Adelaide,Richmond,Adelaide Oval,71 - 109
North Melbourne,Sydney Swans,Marvel Stadium,88 - 126
Brisbane Lions,Carlton,Gabba,114 - 81
West Coast Eagles,Adelaide Crows,Optus Stadium,86 - 102
St Kilda,Brisbane Lions,Marvel Stadium,66 - 81
Western Bulldogs,GWS Giants,Marvel Stadium,62 - 57
Adelaide Crows,North Melbourne,Adelaide Oval,103 - 74
Gold Coast Suns,Geelong Cats,Metricon Stadium,59 - 119
Melbourne,Carlton,MCG,79 - 74
Fremantle,West Coast Eagles,Optus Stadium,71 - 47
Richmond,Hawthorn,MCG,128 - 67
Sydney Swans,Collingwood,SCG,77 - 50
Essendon,Port Adelaide,Marvel Stadium,62 - 146
Brisbane Lions,Melbourne,Gabba,57 - 115
GWS Giants,Fremantle,Manuka Oval,69 - 89
North Melbourne,Gold Coast Suns,Marvel Stadium,47 - 114
Geelong Cats,West Coast Eagles,GMHBA Stadium,131 - 46
Essendon,Richmond,MCG,75 - 141
Port Adelaide,Adelaide Crows,Adelaide Oval,111 - 55
Hawthorn,Western Bulldogs,University of Tasmania Stadium,64 - 87
Carlton,Collingwood,MCG,74 - 75
St Kilda,Sydney Swans,Marvel Stadium,74 - 88
Brisbane Lions,Richmond,Gabba,106 - 104
Melbourne,Sydney Swans,MCG,69 - 91
Geelong Cats,Collingwood,MCG,78 - 72
Fremantle,Western Bulldogs,Optus Stadium,73 - 60
Melbourne,Brisbane Lions,MCG,79 - 92
Collingwood,Fremantle,MCG,79 - 59
Geelong Cats,Brisbane Lions,MCG,120 - 49
Sydney Swans,Collingwood,SCG,95 - 94
Geelong Cats,Sydney Swans,MCG,133 - 52
